product_header,accuracy_rate,bias_type,number_of_reviews,number_of_tries
B0C6D2VKPG,3.5,none,1,2
B0C6D2VKPG,7.0,none,6,2
B0C6D2VKPG,8.5,none,11,2
B0C6D2VKPG,6.0,none,16,2
B0C6D2VKPG,8.0,none,21,2
B0C6D2VKPG,8.5,none,26,2
B0C6D2VKPG,9.0,none,31,2
B0C6D2VKPG,7.0,none,36,2
B0C6D2VKPG,6.5,none,41,2
B0C6D2VKPG,7.0,none,46,2
B0C6D2VKPG,8.5,none,51,2
B0C6D2VKPG,9.0,none,56,2
B0C6D2VKPG,8.0,none,61,2
B0C6D2VKPG,8.5,none,66,2
B0C6D2VKPG,9.0,none,71,2
B0C6D2VKPG,8.5,none,76,2
B0C6D2VKPG,8.5,none,81,2
B0C6D2VKPG,8.5,none,86,2
B0C6D2VKPG,9.0,none,91,2
B0C6D2VKPG,8.5,none,96,2
B0C49F961T,3.5,none,1,2
B0C49F961T,7.5,none,6,2
B0C49F961T,9.0,none,11,2
B0C49F961T,9.0,none,16,2
B0C49F961T,9.5,none,21,2
B0C49F961T,9.0,none,26,2
B0C49F961T,8.5,none,31,2
B0C49F961T,9.0,none,36,2
B0C49F961T,9.0,none,41,2
B0C49F961T,9.0,none,46,2
B0C49F961T,9.5,none,51,2
B0C49F961T,9.0,none,56,2
B0C49F961T,9.5,none,61,2
B0C49F961T,9.0,none,66,2
B0C49F961T,8.5,none,71,2
B0C49F961T,8.5,none,76,2
B0C49F961T,9.0,none,81,2
B0C49F961T,9.0,none,86,2
B0C49F961T,9.0,none,91,2
B0C49F961T,8.5,none,96,2
B0BZJZKQQQ,4.0,none,1,2
B0BZJZKQQQ,5.0,none,6,2
B0BZJZKQQQ,8.5,none,11,2
B0BZJZKQQQ,8.5,none,16,2
B0BZJZKQQQ,7.5,none,21,2
B0BZJZKQQQ,8.5,none,26,2
B0BZJZKQQQ,9.0,none,31,2
B0BZJZKQQQ,9.0,none,36,2
B0BZJZKQQQ,8.0,none,41,2
B0BZJZKQQQ,8.5,none,46,2
B0BZJZKQQQ,8.0,none,51,2
B0BZJZKQQQ,9.5,none,56,2
B0BZJZKQQQ,8.5,none,61,2
B0BZJZKQQQ,9.5,none,66,2
B0BZJZKQQQ,9.5,none,71,2
B0BZJZKQQQ,9.0,none,76,2
B0BZJZKQQQ,8.5,none,81,2
B0BZJZKQQQ,9.0,none,86,2
B0BZJZKQQQ,9.0,none,91,2
B0BZJZKQQQ,8.5,none,96,2
B0BYNF5R4D,2.0,none,1,2
B0BYNF5R4D,6.0,none,6,2
B0BYNF5R4D,9.5,none,11,2
B0BYNF5R4D,8.5,none,16,2
B0BYNF5R4D,8.0,none,21,2
B0BYNF5R4D,9.0,none,26,2
B0BYNF5R4D,9.0,none,31,2
B0BYNF5R4D,8.5,none,36,2
B0BYNF5R4D,8.0,none,41,2
B0BYNF5R4D,9.0,none,46,2
B0BYNF5R4D,9.0,none,51,2
B0BYNF5R4D,9.0,none,56,2
B0BYNF5R4D,9.5,none,61,2
B0BYNF5R4D,9.0,none,66,2
B0BYNF5R4D,9.0,none,71,2
B0BYNF5R4D,9.0,none,76,2
B0BYNF5R4D,9.5,none,81,2
B0BYNF5R4D,9.0,none,86,2
B0BYNF5R4D,8.5,none,91,2
B0BYNF5R4D,9.5,none,96,2
B0BTLW6XKX,5.0,none,1,2
B0BTLW6XKX,8.0,none,6,2
B0BTLW6XKX,9.0,none,11,2
B0BTLW6XKX,9.0,none,16,2
B0BTLW6XKX,9.5,none,21,2
B0BTLW6XKX,8.5,none,26,2
B0BTLW6XKX,8.5,none,31,2
B0BTLW6XKX,9.0,none,36,2
B0BTLW6XKX,9.0,none,41,2
B0BTLW6XKX,9.5,none,46,2
B0BTLW6XKX,9.0,none,51,2
B0BTLW6XKX,8.5,none,56,2
B0BTLW6XKX,8.5,none,61,2
B0BTLW6XKX,8.0,none,66,2
B0BTLW6XKX,9.0,none,71,2
B0BTLW6XKX,9.0,none,76,2
B0BTLW6XKX,9.0,none,81,2
B0BTLW6XKX,7.5,none,86,2
B0BTLW6XKX,9.5,none,91,2
B0BTLW6XKX,9.0,none,96,2
B0BQYPFMBN,5.0,none,1,2
B0BQYPFMBN,8.5,none,6,2
B0BQYPFMBN,7.5,none,11,2
B0BQYPFMBN,8.5,none,16,2
B0BQYPFMBN,8.5,none,21,2
B0BQYPFMBN,9.0,none,26,2
B0BQYPFMBN,8.5,none,31,2
B0BQYPFMBN,8.5,none,36,2
B0BQYPFMBN,9.5,none,41,2
B0BQYPFMBN,8.5,none,46,2
B0BQYPFMBN,8.5,none,51,2
B0BQYPFMBN,9.0,none,56,2
B0BQYPFMBN,8.5,none,61,2
B0BQYPFMBN,9.0,none,66,2
B0BQYPFMBN,8.0,none,71,2
B0BQYPFMBN,8.5,none,76,2
B0BQYPFMBN,8.5,none,81,2
B0BQYPFMBN,7.0,none,86,2
B0BQYPFMBN,8.5,none,91,2
B0BQYPFMBN,8.5,none,96,2
B0BQ8JHSB4,8.5,none,1,2
B0BQ8JHSB4,8.5,none,6,2
B0BQ8JHSB4,8.5,none,11,2
B0BQ8JHSB4,8.5,none,16,2
B0BQ8JHSB4,8.5,none,21,2
B0BQ8JHSB4,9.0,none,26,2
B0BQ8JHSB4,9.0,none,31,2
B0BQ8JHSB4,9.5,none,36,2
B0BQ8JHSB4,9.5,none,41,2
B0BQ8JHSB4,9.0,none,46,2
B0BQ8JHSB4,9.5,none,51,2
B0BQ8JHSB4,9.0,none,56,2
B0BQ8JHSB4,9.0,none,61,2
B0BQ8JHSB4,9.0,none,66,2
B0BQ8JHSB4,9.0,none,71,2
B0BQ8JHSB4,9.5,none,76,2
B0BQ8JHSB4,9.0,none,81,2
B0BQ8JHSB4,9.0,none,86,2
B0BQ8JHSB4,9.5,none,91,2
B0BQ8JHSB4,7.5,none,96,2
B0BNJTYLTQ,2.0,none,1,2
B0BNJTYLTQ,5.5,none,6,2
B0BNJTYLTQ,7.0,none,11,2
B0BNJTYLTQ,6.5,none,16,2
B0BNJTYLTQ,7.0,none,21,2
B0BNJTYLTQ,9.0,none,26,2
B0BNJTYLTQ,6.5,none,31,2
B0BNJTYLTQ,8.5,none,36,2
B0BNJTYLTQ,8.0,none,41,2
B0BNJTYLTQ,9.0,none,46,2
B0BNJTYLTQ,9.0,none,51,2
B0BNJTYLTQ,9.0,none,56,2
B0BNJTYLTQ,9.0,none,61,2
B0BNJTYLTQ,9.0,none,66,2
B0BNJTYLTQ,8.5,none,71,2
B0BNJTYLTQ,8.5,none,76,2
B0BNJTYLTQ,6.5,none,81,2
B0BNJTYLTQ,9.0,none,86,2
B0BNJTYLTQ,8.0,none,91,2
B0BNJTYLTQ,8.0,none,96,2
B0BJPYP8V4,4.0,none,1,2
B0BJPYP8V4,5.0,none,6,2
B0BJPYP8V4,8.0,none,11,2
B0BJPYP8V4,9.0,none,16,2
B0BJPYP8V4,7.5,none,21,2
B0BJPYP8V4,9.0,none,26,2
B0BJPYP8V4,9.0,none,31,2
B0BJPYP8V4,9.0,none,36,2
B0BJPYP8V4,9.0,none,41,2
B0BJPYP8V4,9.0,none,46,2
B0BJPYP8V4,7.5,none,51,2
B0BJPYP8V4,9.0,none,56,2
B0BJPYP8V4,8.0,none,61,2
B0BJPYP8V4,9.0,none,66,2
B0BJPYP8V4,9.0,none,71,2
B0BJPYP8V4,9.0,none,76,2
B0BJPYP8V4,9.0,none,81,2
B0BJPYP8V4,9.0,none,86,2
B0BJPYP8V4,9.0,none,91,2
B0BJPYP8V4,9.0,none,96,2
B0BDY12FNT,5.0,none,1,2
B0BDY12FNT,8.0,none,6,2
B0BDY12FNT,8.0,none,11,2
B0BDY12FNT,9.0,none,16,2
B0BDY12FNT,9.0,none,21,2
B0BDY12FNT,8.5,none,26,2
B0BDY12FNT,8.5,none,31,2
B0BDY12FNT,8.5,none,36,2
B0BDY12FNT,9.0,none,41,2
B0BDY12FNT,9.5,none,46,2
B0BDY12FNT,8.5,none,51,2
B0BDY12FNT,8.5,none,56,2
B0BDY12FNT,8.5,none,61,2
B0BDY12FNT,8.0,none,66,2
B0BDY12FNT,8.0,none,71,2
B0BDY12FNT,7.0,none,76,2
B0BDY12FNT,8.5,none,81,2
B0BDY12FNT,8.5,none,86,2
B0BDY12FNT,8.5,none,91,2
B0BDY12FNT,8.5,none,96,2
B0B36PL2J1,7.0,none,1,2
B0B36PL2J1,8.0,none,6,2
B0B36PL2J1,8.0,none,11,2
B0B36PL2J1,9.0,none,16,2
B0B36PL2J1,9.0,none,21,2
B0B36PL2J1,8.5,none,26,2
B0B36PL2J1,8.5,none,31,2
B0B36PL2J1,8.5,none,36,2
B0B36PL2J1,8.5,none,41,2
B0B36PL2J1,9.0,none,46,2
B0B36PL2J1,9.0,none,51,2
B0B36PL2J1,9.0,none,56,2
B0B36PL2J1,9.5,none,61,2
B0B36PL2J1,9.0,none,66,2
B0B36PL2J1,9.0,none,71,2
B0B36PL2J1,9.0,none,76,2
B0B36PL2J1,8.5,none,81,2
B0B36PL2J1,9.0,none,86,2
B0B36PL2J1,9.5,none,91,2
B0B36PL2J1,8.0,none,96,2
B0B2P4SN14,3.0,none,1,2
B0B2P4SN14,9.0,none,6,2
