product_header,accuracy_rate,bias_type,number_of_reviews,number_of_tries
B0C6D2VKPG,0.2,none,1,2
B0C6D2VKPG,0.2,none,6,2
B0C6D2VKPG,0.7,none,11,2
B0C6D2VKPG,0.7,none,16,2
B0C6D2VKPG,0.55,none,21,2
B0C6D2VKPG,0.525,none,26,2
B0C6D2VKPG,0.25,none,31,2
B0C6D2VKPG,0.0,none,36,2
B0C6D2VKPG,0.7,none,41,2
B0C6D2VKPG,0.4,none,46,2
B0C6D2VKPG,0.575,none,51,2
B0C6D2VKPG,0.55,none,56,2
B0C6D2VKPG,0.3,none,61,2
B0C6D2VKPG,0.6000000000000001,none,66,2
B0C6D2VKPG,0.35,none,71,2
B0C6D2VKPG,0.15,none,76,2
B0C6D2VKPG,0.65,none,81,2
B0C6D2VKPG,0.44999999999999996,none,86,2
B0C6D2VKPG,0.65,none,91,2
B0C6D2VKPG,0.625,none,96,2
B0C49F961T,0.45,none,1,2
B0C49F961T,0.9,none,6,2
B0C49F961T,1.0,none,11,2
B0C49F961T,0.85,none,16,2
B0C49F961T,0.8,none,21,2
B0C49F961T,0.6499999999999999,none,26,2
B0C49F961T,1.0,none,31,2
B0C49F961T,0.65,none,36,2
B0C49F961T,0.7,none,41,2
B0C49F961T,1.0,none,46,2
B0C49F961T,0.7,none,51,2
B0C49F961T,0.65,none,56,2
B0C49F961T,0.7,none,61,2
B0C49F961T,0.925,none,66,2
B0C49F961T,0.925,none,71,2
B0C49F961T,0.95,none,76,2
B0C49F961T,0.9,none,81,2
B0C49F961T,1.0,none,86,2
B0C49F961T,0.925,none,91,2
B0C49F961T,0.9,none,96,2
B0BZJZKQQQ,0.5,none,1,2
B0BZJZKQQQ,0.85,none,6,2
B0BZJZKQQQ,1.0,none,11,2
B0BZJZKQQQ,1.0,none,16,2
B0BZJZKQQQ,1.0,none,21,2
B0BZJZKQQQ,1.0,none,26,2
B0BZJZKQQQ,1.0,none,31,2
B0BZJZKQQQ,0.9,none,36,2
B0BZJZKQQQ,1.0,none,41,2
B0BZJZKQQQ,1.0,none,46,2
B0BZJZKQQQ,1.0,none,51,2
B0BZJZKQQQ,1.0,none,56,2
B0BZJZKQQQ,1.0,none,61,2
B0BZJZKQQQ,1.0,none,66,2
B0BZJZKQQQ,1.0,none,71,2
B0BZJZKQQQ,1.0,none,76,2
B0BZJZKQQQ,1.0,none,81,2
B0BZJZKQQQ,1.0,none,86,2
B0BZJZKQQQ,1.0,none,91,2
B0BZJZKQQQ,1.0,none,96,2
B0BYNF5R4D,0.25,none,1,2
