product_header,accuracy_rate,bias_type,number_of_reviews,number_of_tries
B0C6D2VKPG,0.13999999999999999,none,1,5
B0C6D2VKPG,0.72,none,6,5
B0C6D2VKPG,0.72,none,11,5
B0C6D2VKPG,0.72,none,16,5
B0C6D2VKPG,0.8600000000000001,none,21,5
B0C6D2VKPG,0.96,none,26,5
B0C6D2VKPG,0.95,none,31,5
B0C6D2VKPG,1.0,none,36,5
B0C6D2VKPG,0.8800000000000001,none,41,5
B0C6D2VKPG,1.0,none,46,5
B0C6D2VKPG,1.0,none,51,5
B0C6D2VKPG,0.8800000000000001,none,56,5
B0C6D2VKPG,0.77,none,61,5
B0C6D2VKPG,0.97,none,66,5
B0C6D2VKPG,1.0,none,71,5
B0C6D2VKPG,0.9400000000000001,none,76,5
B0C6D2VKPG,0.8800000000000001,none,81,5
B0C6D2VKPG,0.9400000000000001,none,86,5
B0C6D2VKPG,0.9400000000000001,none,91,5
B0C6D2VKPG,0.9400000000000001,none,96,5
B0C6D2VKPG,0.9800000000000001,none,101,5
B0C6D2VKPG,1.0,none,106,5
B0C6D2VKPG,0.9,none,111,5
B0C6D2VKPG,0.8800000000000001,none,116,5
